date,opening_price,closing_price,min_price,max_price,average_price,units_traded,volume_1day,volume_7day,buy_price,sell_price,requestTime
1520528472484,842000,816000,811000,865000,839713.1943,44044.9782409723576121,44044.9782409723576121,238331.770055803182847407,814000,818000,1520528472
1520528478424,843000,815000,811000,865000,839706.0672,44066.0256409723576121,44066.0256409723576121,238331.770055803182847407,815000,818000,1520528478
1520528484437,843000,815000,811000,865000,839706.0672,44066.0256409723576121,44066.0256409723576121,238331.770055803182847407,814000,815000,1520528484
1520528490577,843000,815000,811000,865000,839700.3063,44058.2238056643007121,44058.2238056643007121,238331.770055803182847407,815000,818000,1520528490
1520528496565,843000,815000,811000,865000,839694.4124,44061.4038056643007121,44061.4038056643007121,238331.770055803182847407,814000,817000,1520528496
1520528502704,844000,814000,811000,865000,839683.3777,44077.2183056643007121,44077.2183056643007121,238331.770055803182847407,813000,817000,1520528502
1520528508752,844000,817000,811000,865000,839679.8537,44082.0796409723576121,44082.0796409723576121,238331.770055803182847407,814000,817000,1520528508
1520528515025,845000,814000,811000,865000,839675.6918,44085.8959044794666121,44085.8959044794666121,238331.770055803182847407,814000,816000,1520528514
1520528521019,845000,814000,811000,865000,839672.7490,44088.7771044794666121,44088.7771044794666121,238331.770055803182847407,814000,816000,1520528520
1520528526891,843000,816000,811000,865000,839668.3101,44092.6275554455621121,44092.6275554455621121,238331.770055803182847407,814000,816000,1520528526
1520528532763,844000,815000,811000,865000,839664.2011,44095.4247582891640021,44095.4247582891640021,238331.770055803182847407,814000,815000,1520528532
1520528539048,846000,815000,811000,865000,839663.5113,44091.2206130285004921,44091.2206130285004921,238331.770055803182847407,812000,815000,1520528538
1520528544978,843000,815000,811000,865000,839656.4986,44112.2686056998952921,44112.2686056998952921,238331.770055803182847407,813000,815000,1520528544
1520528550826,843000,816000,811000,865000,839652.6563,44114.4528056998952921,44114.4528056998952921,238331.770055803182847407,813000,816000,1520528550
1520528556710,845000,818000,811000,865000,839644.3340,44105.7621417293070521,44105.7621417293070521,238331.770055803182847407,814000,818000,1520528556
1520528562844,844000,818000,811000,865000,839641.8629,44098.2670017056943021,44098.2670017056943021,238331.770055803182847407,815000,817000,1520528562
1520528568876,844000,814000,811000,865000,839634.4005,44111.6175570775951321,44111.6175570775951321,238331.770055803182847407,814000,817000,1520528568
1520528574885,848000,814000,811000,865000,839628.0420,44111.4860570775951321,44111.4860570775951321,238331.770055803182847407,814000,816000,1520528574
1520528580756,848000,818000,811000,865000,839617.1490,44132.2152570775951321,44132.2152570775951321,238331.770055803182847407,814000,817000,1520528580
520,0,0,0,0,0,0,0,0,0,0,1520528586
1520528602713,849000,816000,811000,865000,839589.5712,44160.1751813422454535,44160.1751813422454535,238331.770055803182847407,814000,816000,1520528602
1520528609019,849000,816000,811000,865000,839581.7495,44172.0270813422454535,44172.0270813422454535,238331.770055803182847407,814000,816000,1520528608
1520528615019,847000,814000,811000,865000,839572.5303,44183.2870813422454535,44183.2870813422454535,238331.770055803182847407,815000,816000,1520528614
1520528620913,847000,816000,811000,865000,839563.2700,44218.4435813422454535,44218.4435813422454535,238331.770055803182847407,815000,816000,1520528620
1520528626836,850000,816000,811000,865000,839557.0390,44239.7041813422454535,44239.7041813422454535,238331.770055803182847407,813000,816000,1520528626
1520528632694,850000,816000,811000,865000,839555.6880,44239.8226813422454535,44239.8226813422454535,238331.770055803182847407,814000,816000,1520528632
1520528638631,850000,814000,811000,865000,839550.3894,44239.7684825187160711,44239.7684825187160711,238331.770055803182847407,814000,816000,1520528638
1520528644824,850000,814000,811000,865000,839545.9133,44250.1934919304807771,44250.1934919304807771,238331.770055803182847407,814000,816000,1520528644
1520528650675,850000,814000,811000,865000,839539.6321,44254.3016095775395611,44254.3016095775395611,238331.770055803182847407,814000,816000,1520528650
1520528656827,850000,814000,811000,865000,839530.9819,44262.5079095775395611,44262.5079095775395611,238331.770055803182847407,813000,814000,1520528656
1520528662712,850000,814000,811000,865000,839522.8717,44265.6563095775395611,44265.6563095775395611,238331.770055803182847407,814000,816000,1520528662
1520528668676,850000,816000,811000,865000,839520.0699,44273.6374095775395611,44273.6374095775395611,238331.770055803182847407,814000,815000,1520528668
1520528674664,849000,813000,811000,865000,839495.6760,44285.3253095775395611,44285.3253095775395611,238331.770055803182847407,814000,815000,1520528674
1520528680683,849000,813000,811000,865000,839475.3449,44324.2710095775395611,44324.2710095775395611,238331.770055803182847407,815000,817000,1520528680
1520528686586,849000,817000,811000,865000,839469.6838,44333.0872095775395611,44333.0872095775395611,238331.770055803182847407,814000,817000,1520528686
1520528692469,849000,817000,811000,865000,839462.2425,44338.0149095775395611,44338.0149095775395611,238331.770055803182847407,813000,816000,1520528692
1520528698533,849000,816000,811000,865000,839461.3129,44339.2925095775395611,44339.2925095775395611,238331.770055803182847407,814000,816000,1520528698
1520528704561,849000,816000,811000,865000,839458.0676,44348.4237095775395611,44348.4237095775395611,238331.770055803182847407,814000,816000,1520528704
